reviewid,genre
22038,jazz
22038,experimental
22007,jazz
22050,rock
21719,pop/r&b
22012,
22032,experimental
22049,electronic
22048,rock
22017,electronic
22005,rock
21970,rock
22036,rap
21971,folk/country
21979,rock
21994,rock
21988,rap
21984,electronic
22000,pop/r&b
21992,rock
22010,electronic
22011,rock
22034,
21951,electronic
22037,rock
22024,rock
21884,rock
22046,rap
21982,metal
21973,rock
21726,rock
22033,rock
21991,electronic
22004,rock
22040,pop/r&b
21974,rock
21974,electronic
22008,experimental
22006,rock
21972,electronic
22031,rap
21945,rock
21995,rock
21965,rock
21965,electronic
21882,experimental
22002,jazz
21990,electronic
21885,experimental
21967,electronic
21966,rock
21966,global
21966,experimental
21966,electronic
21889,metal
21964,pop/r&b
21980,electronic
21946,rock
21946,pop/r&b
21946,electronic
21941,rock
21941,electronic
21931,rock
21953,rock
21987,rock
21996,electronic
21999,rock
21998,rap
21978,rock
21961,rock
21961,electronic
21722,rock
21952,rock
21997,
21872,rock
21954,rock
21986,rock
21962,rock
21962,electronic
21938,electronic
21654,metal
21871,rock
21828,rock
21959,rock
21959,metal
21977,rock
21981,rap
21904,rap
21873,folk/country
21960,global
21890,
21913,rap
21932,pop/r&b
21942,pop/r&b
21937,
21921,electronic
21916,folk/country
21976,rap
21915,rock
21944,rock
21723,electronic
21958,electronic
21975,rock
21957,rap
21917,rock
21943,rock
21910,rock
21956,folk/country
21891,pop/r&b
21718,rock
21922,pop/r&b
21786,electronic
21950,electronic
21821,jazz
21947,electronic
21934,experimental
21675,rock
21940,rap
21933,folk/country
21949,global
21948,rock
21955,rock
21536,
21936,rock
21892,pop/r&b
21874,electronic
21584,experimental
21880,rock
21896,rock
21923,pop/r&b
21929,rock
21914,folk/country
21939,rock
21926,electronic
21893,experimental
21868,rock
21920,electronic
21864,folk/country
21894,rock
21935,rock
21721,jazz
21673,rock
21928,rap
21898,rock
21875,rock
21875,folk/country
21771,
21725,folk/country
21912,electronic
21865,pop/r&b
21802,pop/r&b
21676,rock
21887,rock
21919,electronic
21909,rap
21700,rock
21911,electronic
21869,rock
21918,jazz
21677,rock
21818,metal
21784,rock
21862,rock
21901,rock
21858,rap
21900,pop/r&b
21877,rock
21899,pop/r&b
21785,electronic
21724,rock
21908,global
21879,rap
21879,experimental
21876,electronic
21820,electronic
21859,rock
21907,rock
21888,rock
21678,jazz
21878,folk/country
21906,pop/r&b
21861,folk/country
21863,rap
21852,rock
21782,electronic
21783,electronic
21855,rap
21720,rock
21817,jazz
21701,rock
21701,global
21701,experimental
21701,electronic
21854,
21856,rock
21905,rock
21849,rock
21860,
21645,metal
21857,pop/r&b
21857,electronic
21819,pop/r&b
21819,experimental
21794,rock
21810,
21815,
21687,rap
21804,electronic
21853,
21851,rock
21848,rock
21848,electronic
21653,
21813,rock
21813,electronic
21903,rap
21816,rock
21836,rap
21835,
21850,pop/r&b
21801,experimental
21845,rock
21845,pop/r&b
21842,rock
21842,pop/r&b
21844,rock
21844,pop/r&b
21846,rock
21846,pop/r&b
21841,rock
21841,pop/r&b
21866,rock
21866,pop/r&b
21843,rock
21843,pop/r&b
21847,rock
21847,pop/r&b
21715,rock
21839,rap
21637,rap
21781,experimental
21743,experimental
21806,rock
21806,experimental
21834,electronic
21825,rap
21867,pop/r&b
21826,rap
21838,rock
21837,rap
21833,electronic
21797,jazz
21762,metal
21762,experimental
21717,rock
21814,rock
21814,experimental
21694,experimental
21799,jazz
21840,rap
21744,rock
21714,rock
21696,global
21696,electronic
21832,metal
21827,rock
21808,rock
21807,experimental
21792,rock
21695,electronic
21709,rap
21778,electronic
21708,
21809,
21758,folk/country
21791,rock
21699,experimental
21831,experimental
21831,electronic
21822,rock
21822,experimental
21800,rock
21733,rock
21729,rap
21824,rap
21681,rock
21680,experimental
21829,rap
21636,folk/country
21703,experimental
21698,rock
21749,rock
21749,experimental
21697,rock
21742,rock
21780,electronic
21755,metal
21688,pop/r&b
21812,rap
21716,rock
21732,metal
21732,electronic
21547,rock
21547,metal
21562,experimental
21811,rock
21770,pop/r&b
21752,pop/r&b
21769,rock
21769,electronic
21690,electronic
21679,rock
21803,pop/r&b
21693,
21597,rock
21748,rock
21767,pop/r&b
21594,rock
21704,rock
21635,experimental
21796,rap
21796,experimental
21750,rock
21805,pop/r&b
21587,rock
21775,pop/r&b
21766,electronic
21751,rock
21728,rock
