reviewid,label
21831,self-released
21822,my animal home
21800,sub pop
21733,dead oceans
21729,mello music group
21824,brainbandits
21824,bad habit
21681,dead oceans
21680,52hz
21829,bad half entertainment
21636,drag city
21703,arjunamusic
21698,island
21749,polyvinyl / bella union
21697,double double whammy
21742,unmade road
21742,caroline
21780,peder mannerfelt produktion
21755,self-released
21688,universal
21812,closed sessions
21716,carpark
21716,buzz
21732,dais records
21547,warner bros.
21562,western vinyl
21811,triple crown
21770,mind of a genius
21752,captured tracks
21769,mute
21690,teklife
21679,canvasback / atlantic
21803,atlantic
21693,partisan
21597,rough trade
21748,rock action
21748,temporary residence
21767,sounds of crenshaw
21767,ropeadope
21594,hardly art
21704,anthology recordings
21635,4ad
21635,paper bag
21796,third worlds
21750,woodsist
21805,def jam
21587,drag city
21587,domino
21775,artbus records
21766,ninja tune
21751,loma vista
21728,run for cover
21674,pi recordings
21756,warner bros.
21756,ovo sound
21768,mute
21596,domino
21747,30th century
21747,columbia
21776,merge
21628,kompakt
21627,running back
21576,x2
21633,relapse
21757,ghostly international
21765,bayonet
21779,merge
21741,computer ugly
21626,on-u sound
21777,thrill jockey
21790,self-released
21763,daptone
21763,dunham
21595,jagjaguwar
21538,sub pop
21537,tapete
21593,crush
21789,atlantic
21551,warp
21660,barsuk
21660,city slang
21710,record company ten
21710,kemosabe
21764,rca
21754,mute
21754,monkeytown
21788,self-released
21629,yellow k
21652,milan
21686,temporary residence
21761,rj's electrical connections
21740,odd future
21535,firehouse 12
21746,felte
21656,emi
21685,profound lore
21625,lustwerk music
21702,hyperdub
21641,editions mego
21712,self-released
21759,saddle creek
21664,awful
21745,third man
21737,young turks
21518,ecm
21683,vroom vroom recordings
21738,luckyme
21773,self-released
21615,ghostly
21707,warner bros.
21550,the orchard
21550,c'mon lets drift
21550,maplemusic
21550,membran
21550,caroline
21730,mom & pop
21684,neurot
21727,moshi moshi
21647,interscope
21672,relapse
21739,ivy league
21614,trekkie trax
21617,mello music group
21591,drag city
21646,sacred bones
21692,chapter music
21650,slumberland
21640,relapse
21590,ignition
21590,first international
21736,self-released
21605,matador
21670,numero group
21753,no quarter
21588,columbia
21588,legacy
21549,glorious dead
21666,bar/none
21632,light in the attic
21606,halocline trance
21509,astralwerks
21631,thrill jockey
21713,bruiser brigade
21630,disposable america
21630,gawk
21616,styles upon styles
21731,static shock
21731,wilsuns rc
21668,warp
21711,awesome tapes from africa
21658,sad cactus
21612,erased tapes
21563,domino
21667,xl
21644,merge
21642,tough love
21642,exploding in sound
21642,brace yourself
21691,4ad
21586,loma vista
21555,hyperdub
21669,counter records
21546,moniker
21655,western vinyl
21665,burger
21706,def jam
21443,b3sci
21651,shake it
21659,young art
21705,top dawg entertainment
21526,mom & pop
21643,srfschl
21486,grand jury
21623,flying nun
21623,ba da bing!
21527,pias
21527,moshi moshi
21603,nacional
21415,ribbon music
21648,kiam
21624,ghostly
21575,emi
21682,play it again sam
21569,paper bag
21534,rvng intl.
21613,burnt toast vinyl
21613,big scary monsters
21561,legacy
21574,pias
21622,sub pop
21512,friends of friends
21610,20 buck spin
21558,parlophone
21585,software
21583,polyvinyl
21582,mello music group
21661,2mr
21663,4ad
21573,alleviated
21600,g.o.o.d. music
21408,mexican summer
21621,victor
21510,saddle creek
21604,fool's gold
21567,mam
21611,fade to mind
21639,alligator
21504,self-released
21609,egghunt
21453,club ac30
21572,dfa
21570,cantaloupe
21412,interscope
21412,dirty hit
21544,motown
21619,domino
21435,smalltown supersound
21657,self-released
21548,legacy
21607,hot
21607,vagrant
21560,bloodshot
21608,sick wid it
21620,help yourself
21439,atlantic
21602,epic
21638,self-released
21452,dine alone
21559,border community
21601,american
21601,hollywood
21470,duophonic
21466,carpark
21545,deathwish
21571,planet mu
21571,timesig
21339,rough trade
21339,caldo verde
21557,burger
21523,barsuk
21414,rvng intl.
21467,drag city
21599,captured tracks
21017,thrill jockey
21568,anti-
21495,island
21508,suicide squeeze
21580,!k7
21525,merge
21566,western vinyl
21533,tri angle
21564,moraine music group
21333,domino
21398,golf channel
21465,sub pop
21556,nonesuch
21581,self-released
21542,def jam
21542,g.o.o.d. music
21543,spiritual pajamas
21494,international feel
21419,new amsterdam
21524,battleground
21565,atlantic
21598,self-released
21492,broken world media
21492,standard brickhouse
21531,exploding in sound
21493,smallville
21578,epic
21578,free bandz
21522,sad cactus
21532,all city
21468,cooking vinyl
21468,thirty tigers
21577,driftless
21410,universal
21507,run for cover
21554,self-released
21529,the ajna offensive
21413,third man
21579,atlantic
21579,300 entertainment
21511,vagrant
21530,r&s
21463,blue note
21521,sony
21521,sign of the times
21514,domino
21520,self-released
21485,captured tracks
21515,on-u sound
21516,dfa
21553,virgin
21553,emi
21409,virgin
21482,ba da bing!
21451,paradise of bachelors
21539,r&s
21287,atlantic
21287,bread winners' association
21513,city slang
21552,loma vista
21464,rad cult
21484,bloodshot
21499,cherry red
21502,atlantic
21541,self-released
21469,king creative
21528,pow recordings
21462,captured tracks
21506,warner bros.
21506,ovo sound
21483,memphis industries
21498,relapse
21519,other people
21540,roc nation
21540,westbury road
21472,highway 20
21517,fader
21459,polydor
21459,outsiders
21437,on-u sound
21480,quality control
21471,fat possum
21450,dynamic tension
21382,merge
21456,house of mythology
21481,rca
21461,light in the attic
21479,bella union
21433,superball music
21489,run for cover
21384,vagrant
21384,bmg
21384,infectious
21449,ipecac
21335,tri angle
21383,woodsist
21396,jazzy couscous
21396,les disques mystiques
21460,columbia
21310,city slang
21407,light in the attic
21381,gqom oh!
21444,captured tracks
21497,matador
21441,sub pop
21473,drag city
21445,double double whammy
21438,sacred bones
21487,rca
21476,rca
21478,rca
21477,rca
21488,rca
21496,free bandz
21442,linear labs
21448,self-released
21457,gangsta grillz
21440,felder
21440,dilly recordz
21475,columbia
21380,frenchkiss
21417,suede limited
21400,jetset
21458,drag city
21434,drag city
21406,thrill jockey
21490,self-released
21436,fat possum
21436,without consent
21455,4ad
21455,glassnote
21428,matador
21345,esp-disk
21454,jagjaguwar
21420,care of editions
21431,2mr
21402,warp
21403,self-released
21422,self-released
21430,self-released
21432,relapse
21397,self-released
21423,moe
21426,self-released
21347,relapse
21429,run for cover
21394,mass appeal
21388,wharf cat
21421,plus 8
21395,nuclear blast
21446,dreamville
21392,self-released
21391,alleviated
21418,domino
21425,lightning cola
21393,leaving
21387,empire
21387,obe
21387,steel wool
21387,art club
21399,joy void
21405,strictly rhythm
21447,twelves
21389,single lock
21353,npg
21378,vate
21386,self-released
21330,northern spy
21404,safe trip
21332,columbia
21332,rca
21332,iso
21355,glo gang
21370,roc nation
21424,self-released
21385,earth
21351,republic
21377,wild oats
21416,interscope
21416,dreamville
21368,sonic cathedral
21350,ecm
21369,third man
21369,decca
21343,mom & pop
21341,def jam
21348,self-released
21338,iron lung
21337,def jam
21337,g.o.o.d. music
21328,creation
21349,self-released
21331,other people
21352,milan
21326,xl
21326,true panther
21329,letter racer
20947,grnland
21342,fortuna pop!
21296,honest jon's
21179,abraxan hymns
21344,maybach/warner bros.
21312,bgsw
21308,mass appeal
21325,rca
21340,def jam
21336,matador
21324,spinning top
21256,rvng intl.
21327,leaving
21305,rca
21317,universal
21317,polydor
21309,rough trade
21297,scissor tail
21313,schwebung
21306,columbia
21289,domino
21307,burger
21283,no quarter
21280,editions syliphone conakry
21321,atlantic
21321,parlophone
21292,warner bros.
21292,ovo sound
21265,universal
21318,fractal fantasy
21322,erased tapes
21286,southern lord
21235,believe digital it
21228,def jam
21263,20 buck spin
20996,following is leading
21212,numbers
21302,planet mu
21259,young god
21281,def jam
21293,self-released
21319,self-released
21209,soulection
21294,pc music
21269,ubiquity
21304,drag city
21295,goner
21315,rca
21245,domino
21320,self-released
21288,decks
21158,verve
21301,rough trade
21270,luaka bop
21250,nonesuch
21208,thrill jockey
21279,warner bros.
21169,brainfeeder
21299,smalltown supersound
21201,at a loss
21134,dark descent
21246,xl
21275,spacebomb
21240,brainfeeder
21258,dekmantel
21242,prosthetic
21164,def jam
21274,esgn
21300,wondercore island
21237,warner bros.
21233,students of decay
21213,nonesuch
21189,drag city
21277,janus
21159,self-released
21239,mello music group
21231,mute
21221,hyperdub
21216,def jam
21285,s.m.
21241,light in the attic
21248,def jam
21163,polydor
21163,pmr
21135,city slang
21135,other music
21255,sick wid it
21141,fire
20916,atlantic
21261,painbow
21225,break world
21247,def jam
20588,three lobed
21218,legacy
21271,fresh young minds
21271,empire
21217,room40
21266,columbia
21273,self-released
21157,universal
21109,xl
21109,terrible
21215,javotti
21215,jamla
21205,cantaloupe
21276,relapse
21253,warp
21254,bayonet
21272,epic
21272,bad boy
21203,numero group
21252,island
21252,fiction
21252,iamsound
21264,4ad
21267,mexican summer
21207,neurot
21188,turnstile
21249,new damage
21108,warp
21232,self-released
21142,northern spy
21229,xl
21133,rer
21133,northern spy
21133,fish of milk
21214,island
21262,self-released
21092,warner bros.
21132,cinematic
21132,pro era
21191,triple crown
21178,columbia
21178,legacy
21053,polyvinyl
21180,interscope
21180,cherrytree
21243,cosmica
21260,6131
21220,atlantic
21124,in the red
21177,eremite
21193,northern spy
21131,new amsterdam
21110,luaka bop
21110,pluto
21139,columbia
21251,self-released
21056,third man
21204,don giovanni
21161,4ad
21100,optimo music
21162,anticon
21154,black market activities
21176,blackest ever black
21226,atlantic
21226,w.a.v.e. recordings
21121,matador
21175,abduction
21130,rvng intl.
21128,riverboat
21156,vintage vibez music group
21120,dark entries
21187,hausu mountain
21223,dekmantel
21151,forcefield
21155,bangyahead!
21147,atlantic
21147,because music
21147,neon gold
21119,columbia
21081,tri angle
21206,team love
21096,sub pop
21096,up
21055,fire
21143,profound lore
21196,planet mu
21183,touch
21091,domino
21224,self-released
21222,erased tapes
21106,spinefarm
21211,esp institute
21182,warp
21173,dine alone
21098,light in the attic
21153,cinematic
21153,machine entertainment
21153,150 dream team
21174,thrill jockey
21125,jade tree
20980,paradise of bachelors
20859,collect
21126,sacred bones
21200,bindrune
21200,nordvis
21097,drag city
21117,columbia
21089,one little indian
21195,prncipe discos
21152,deathwish
21197,sub pop
21181,downtown
21172,columbia
21116,kemado
21116,mexican summer
21171,relapse
20903,entertainment one
20903,blood money
21198,bmg
21198,echo
21013,numero group
21148,xl
21149,neurot
21041,transgressive
21041,mom & pop
21202,self-released
21199,ruby yacht
21199,the order label
21150,warner music group
21054,relapse
21194,matador
21088,eskimo
21018,hyperdub
21032,slumberland
21052,northern heritage
21052,no solace
21039,4ad
21083,ato
21186,season of mist
20979,weathermaker
21113,hyperdub
21086,rock action
21085,partisan
21114,kit
21051,pan
21185,circle star
21137,capitol
21038,warner bros.
21138,domino
21095,kranky
21080,entertainment one
20432,warp
20432,cherry coffee
20966,hardly art
21105,ropeadope
20965,fat cat
21020,further
21060,bmg
21060,rhythm nation
21115,ume
21115,t-boy
21028,concord
21028,mpl
21082,secret songs
21078,software
21042,warner bros.
21042,ghost ramp
21044,downtown
