reviewid,artist
21692,the goon sax
21650,bent shapes
21640,gadget
21590,primal scream
21736,lil yachty
21605,hlos
21670,various artists
21753,chris forsyth and the solar motel band
21588,jeff buckley
21549,flatbush zombies
21666,the feelies
21632,lifetones
21606,ceramic tl
21509,underworld
21631,the body
21713,zelooperz
21630,horse jumper of love
21616,zach cooper
21731,sheer mag
21668,clark
21711,dj katapila
21658,fake boyfriend
21612,immix ensemble & vessel
21563,the range
21667,lpsley
21644,m. ward
21642,big ups
21691,methyl ethel
21586,iggy pop
21555,fatima al qadiri
21669,tiga
21546,jealousy
21655,carter tanton
21665,glitterbust
21706,lil wayne
21706,2 chainz
21443,the big pink
21651,wussy
21659,tokimonsta
21705,kendrick lamar
21526,polia
21643,smoke dza
21486,mothers
21623,kane strang
21527,anna meredith
21603,el guincho
21415,thao & the get down stay down
21648,jennifer o'connor
21624,mary lattimore
21575,esperanza spalding
21682,soulwax
21569,sarah neufeld
21534,mikael seifu
21613,yndi halda
21561,loretta lynn
21574,violent femmes
21622,heron oblivion
21512,anenon
21610,oranssi pazuzu
21558,david bowie
21585,thug entrancer
21583,la sera
21582,quelle chris
21661,kedr livanskiy
21663,lnzndrf
21573,mr. fingers
21600,hxlt
21408,quilt
21621,especia
21510,hop along
21604,rome fortune
21567,yuck
21611,na
21639,various artists
21504,macklemore
21504,ryan lewis
21609,lucy dacus
21453,pinkshinyultrablast
21572,guerilla toss
21570,glenn kotche
21570,so percussion
21412,the 1975
21544,bj the chicago kid
21619,john cale
21435,prins thomas
21657,french montana
21548,michael jackson
21607,various artists
21560,waco brothers
21608,amthst
21620,crater
21439,santigold
21602,yo gotti
21638,the snails
21452,the dirty nil
21559,james holden
21559,luke abbott
21601,various artists
21470,cavern of anti-matter
21466,teen
21545,death index
21571,venetian snares
21339,jesu
21339,sun kil moon
21557,seth bogart
21523,ra ra riot
21414,anna homler
21414,steve moshier
21467,rangda
21599,wild nothing
21017,matmos
21568,mavis staples
21495,jack garratt
21508,michael nau
21580,moodymann
21525,mount moriah
21566,lushlife
21533,brood ma
21564,benny hester
21333,animal collective
21398,africaine 808
21465,so pitted
21556,rokia traor
21581,why khaliq
21542,kanye west
21543,the skiffle players
21494,cfcf
21419,daniel wohl
21524,eight bells
21565,wiz khalifa
21598,boosie badazz
21492,sioux falls
21531,two inch astronaut
21493,moomin
21578,future
21522,abi reimold
21532,knxwledge
21468,lissie
21577,matt kivel
21410,elliott smith
21507,pinegrove
21554,sicko mobb
21529,aluk todolo
21413,various artists
21579,young thug
21511,school of seven bells
21530,nonkeen
21463,gogo penguin
21521,foxes
21514,porches
21520,vic spencer
21520,chris crack
21485,milk n cookies
21515,jeb loy nichols
21516,essaie pas
21553,massive attack
21409,eric prydz
21482,cross record
21451,nap eyes
21539,alex smoke
