  Niger,2381,2460,2387,2062,2039,2018,1980,1930,1903,2026,2105,1965,1978,2722,2828,3025
  North Macedonia,798,880,936,1072,1122,1144,1116,1138,1150,1202,1166,1100,1100,1182,1177,1207
  Nigeria,34111,37345,40539,37671,39208,39649,38989,38583,37653,36993,39785,37314,38217,48790,49097,49111
  Northern Mariana Islands,4,5,7,8,8,8,8,9,9,10,10,9,9,10,10,10
  Palestinian Authority or West Bank and Gaza Strip,663,753,864,981,998,1009,1007,1007,1005,1009,1020,1017,1026,1042,1047,1081
  Oman,412,465,497,520,542,563,566,567,605,701,778,788,783,842,855,885
  Pakistan,25433,31173,36707,43868,45904,47449,49957,52275,53976,56072,54742,56265,58214,60094,61668,63731
  Panama,185,246,302,387,409,425,448,471,496,525,549,565,573,573,564,586
  Papua New Guinea,462,508,630,765,801,845,881,921,964,1033,1022,1016,1019,1060,1061,1076
  Paraguay,242,328,390,523,553,564,588,631,664,665,658,668,672,714,688,738
  Peru,3599,3957,3965,4760,4806,4960,5278,5780,5987,6097,6033,5992,5662,5481,5595,5677
  Philippines,11114,12069,13896,16664,17342,17958,18890,19735,20422,20629,21678,21490,21447,21918,21394,21744
  Puerto Rico,924,1077,1307,1376,1336,1345,1341,1354,1318,1378,1261,1238,1162,1116,1125,1182
  Qatar,106,134,146,165,173,183,200,215,226,236,254,268,275,299,311,339
  Romania,10506,11843,11266,11745,11593,11417,11645,11857,11898,11632,11266,10769,10850,11159,10859,11015
  Russia,104871,139172,138809,146355,136534,130848,131486,124581,122862,113595,107998,103977,101180,100590,96852,96153
  Rwanda,1373,1301,1427,1117,1091,1079,1054,997,981,1017,1067,1091,1090,1136,1170,1221
  Saint Lucia,29,36,41,51,52,53,53,55,57,59,59,60,62,66,66,70
  Saint Vincent and the Grenadines,16,20,27,34,36,37,39,40,42,45,47,48,48,50,50,52
  Samoa,14,15,17,18,19,19,20,20,20,22,20,20,20,20,19,20
  Sao Tome and Principe,15,17,19,20,21,21,22,22,23,24,25,27,28,29,31,32
  Saudi Arabia,3604,4200,4904,6008,6335,6624,6936,7204,7429,7640,7788,7867,7764,8375,8240,8536
