  Ethiopia,5509,6159,5664,5212,5152,5050,4958,4863,4749,4702,4667,4623,4640,4677,4726,4788
  Fiji,16,18,20,20,20,21,21,20,21,21,21,21,21,21,21,21
  Gabon,44,48,50,49,49,49,49,48,47,47,46,46,46,45,46,46
  Gambia,62,78,103,132,137,142,145,149,153,157,160,164,167,169,171,173
  Georgia,462,478,482,500,500,502,526,544,549,549,541,529,530,539,553,545
  Ghana,476,557,841,997,1040,1069,1074,1089,1103,1119,1129,1136,1144,1156,1167,1173
  Greenland,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
  Grenada,20,16,14,15,16,17,18,19,20,21,21,22,23,24,25,25
  Guam,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
  Guatemala,923,1075,1194,1360,1413,1389,1417,1553,1617,1685,1750,1803,1905,1965,2089,2155
  Guinea,601,762,958,1096,1141,1173,1198,1225,1251,1264,1275,1284,1296,1292,1285,1274
  Guinea-Bissau,113,126,142,153,156,158,159,161,161,162,163,164,165,166,166,167
  Guyana,130,130,125,130,128,127,125,125,135,143,148,144,142,141,140,139
  Haiti,1705,1892,2000,2145,2182,2220,2256,2289,2279,2272,2313,2350,2388,2426,2472,2517
  Honduras,580,801,932,1071,1093,1117,1141,1174,1207,1253,1295,1337,1381,1411,1440,1471
  India,114367,129625,149813,159484,166790,174680,182855,190321,198810,207368,214596,219134,222885,227323,232900,234117
  Indonesia,16044,18635,22792,27149,27731,28274,29016,29617,30129,30609,31117,31594,32067,32508,32725,32850
  Iran,9438,10364,11762,13788,14166,14448,14685,14961,15230,15443,15610,15891,16324,16789,17043,17241
  Iraq,2210,2774,3064,2801,2724,2656,2574,2511,2452,2380,2315,2298,2259,2195,2219,2284
  Jamaica,347,383,347,305,294,329,354,386,367,361,369,401,412,408,425,419
  Jordan,338,401,417,435,449,443,440,450,464,480,496,515,543,568,600,635
  Kazakhstan,1208,1870,1856,1934,1915,1862,1757,1642,1634,1608,1565,1514,1465,1445,1456,1451
  Kenya,841,1008,1206,1351,1366,1377,1389,1404,1417,1432,1441,1444,1450,1465,1481,1493
  Democratic People's Republic of Korea,1675,2093,2690,3294,3392,3496,3599,3695,3797,3892,3994,4096,4185,4276,4355,4415
  Kiribati,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7
  Kuwait,62,67,85,98,102,103,106,101,95,92,94,94,93,97,102,106
  Kyrgyzstan,426,546,569,663,679,684,674,653,645,648,648,642,642,623,599,599
  Lao People's Democratic Republic,591,662,700,716,718,716,716,713,708,700,700,700,700,701,703,708
  Lebanon,402,414,427,502,515,525,533,539,542,549,555,563,571,580,590,599
  Lesotho,181,205,267,308,307,306,310,303,301,296,295,294,291,286,276,266
  Liberia,187,218,246,260,267,274,280,287,295,300,307,311,311,313,317,322
  Libya,287,312,360,387,376,372,388,430,444,436,431,446,459,461,473,482
