Year,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,1995,1995,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
Domain,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine
OECD Asia Oceania,1,0.1,1.3,0.1,2.3,0.1,4.2,2.2,6.6,4.4,7.6,4.5,8.7,4.6,8.7,5.1,10.1,5.3,10.3,5.3,10.4,5.4,10.7,5.4,10.9,5.4,11.7,12.3,11.9,12.3,12.4,12.5,12.7,12.5,13.7,12.5,15.3,28.1,16.7,28.4,18.1,28.4,19.3,28.4,19.7,28.4,19.7,28.4,19.7,28.4,19.7,28.4
Euro area (19 countries),0.7,0.2,1.1,0.2,2.2,0.2,4.5,0.3,8.7,0.7,13.2,1.2,19.8,2.2,20.8,2.3,21.2,2.3,21.8,2.3,23.2,2.8,23.7,2.8,24.3,3.1,24.6,3.3,24.8,3.6,25.1,3.6,25.2,3.7,25.4,4,25.4,4.9,25.5,4.9,25.7,6.1,25.8,6.9,25.9,7.7,26,9.1,26,9.1,26,9.1
European Union (28 countries),0.7,0.1,1.5,0.2,2.5,0.2,4.7,0.4,8.8,0.9,13.2,1.5,18.5,2.5,19.3,2.6,19.9,2.7,20.5,2.7,22,3.1,22.5,3.2,23.7,3.5,24.3,3.8,24.6,4.1,24.8,4.2,25,4.5,25.3,4.9,25.4,5.8,25.8,6,26,8,26,8.6,26.1,9.6,26.2,11.6,26.2,11.6,26.2,11.6
G7,2.5,0.1,3.3,0.2,4.5,0.3,7.5,2.1,8.7,4.6,9.7,5.1,10.7,8.6,10.9,8.6,11,12.4,11.3,12.5,11.4,12.6,11.6,12.6,11.7,18.3,11.9,18.4,12.2,19.7,12.4,19.7,12.5,19.9,12.6,19.9,12.7,20.2,12.9,20.4,12.9,20.7,13,20.7,13.1,20.8,13.1,21.9,13.1,21.9,13.1,21.9
NAFTA,2.4,0.1,3,0.1,3.9,0.2,6.6,0.4,7.7,3.4,8.5,3.8,9.5,7.8,9.6,7.8,9.9,12.3,10.2,12.3,10.3,12.3,10.4,12.4,10.5,19,10.7,19,11.1,20.6,11.3,20.6,11.4,20.7,11.5,20.7,11.6,20.7,11.8,20.7,11.8,20.7,11.9,20.7,12,23.6,12,25.1,12,25.1,12,25.1
G20,1.4,0.1,1.7,0.2,2.1,0.2,3.7,0.9,5.7,2.4,7.2,2.9,8.9,4.2,9.1,4.2,9.7,5.5,9.9,5.6,10.2,5.7,10.4,5.7,11,7.6,11.2,7.7,11.5,8.2,11.8,8.3,11.9,8.4,12.1,8.4,12.3,14.4,12.5,14.9,12.7,15.1,12.9,15.2,13,16.1,13.1,16.7,13.1,18.2,13.1,18.2
OECD - Europe,0.7,0.1,1.4,0.1,2.4,0.2,4.7,0.4,8.8,0.8,13.1,1.2,18.3,2.1,19.2,2.2,19.6,2.2,20.3,2.3,21.7,2.6,22.1,2.6,22.6,2.9,22.9,3.1,23.5,3.3,23.8,3.4,24,3.6,24.2,4,24.2,4.7,24.3,4.9,24.4,6.4,24.6,7,24.7,7.7,24.7,9.3,24.7,9.3,24.7,9.3
OECD - Total,1.9,0.1,2.4,0.1,3.5,0.2,5.9,1,7.8,3,9.1,3.3,10.6,5.1,10.8,5.3,11.3,7.1,11.7,7.1,11.9,7.2,12.2,7.2,12.3,9.9,12.7,12.4,13,13,13.3,13.1,13.5,13.5,13.8,13.6,14.3,19.4,14.7,19.5,15.1,19.8,15.5,19.9,15.6,21.8,15.6,22.7,15.6,24.6,15.6,24.8
World,1.5,0.1,1.8,0.1,2.6,0.1,5,0.6,6.6,1.3,7.9,1.5,9.1,2.1,9.4,2.2,9.9,2.8,10.1,2.8,10.4,2.9,10.6,2.9,11,4,11.3,4.8,11.6,5,11.8,6.1,11.9,6.9,12.1,6.9,12.4,9.5,12.6,9.7,12.8,10.7,12.9,11.1,13,12.6,13.1,16,13.1,17.2,13.1,17.3
American Samoa,0,0,0,0,0,0,0,0,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7,15.8,8.7
Anguilla,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0
Argentina,0.9,0,0.9,0,1,0,2.5,0,4.3,0,5.2,0.1,6.4,0.2,6.6,0.3,6.7,0.3,7,0.3,7.2,0.3,7.4,0.3,7.5,0.3,7.5,0.3,7.6,0.3,8,0.3,8,0.3,8,0.3,8.1,36.8,8.1,37.8,8.1,37.8,8.3,37.8,8.3,37.8,8.4,37.8,8.4,37.8,8.4,37.8
Armenia,0,..,1.6,..,1.7,..,7.8,..,7.9,..,18.6,..,18.6,..,18.6,..,19.9,..,20,..,20,..,20,..,20,..,20,..,20,..,23,..,23,..,23,..,23,..,23,..,23,..,23,..,23,..,23,..,23,..,23,..
Aruba,0.3,0,0.3,0,0.3,0,0.4,0,0.4,0,0.4,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0
Azerbaijan,0.6,..,0.8,..,2.3,..,2.5,..,2.8,..,3.1,..,3.1,..,3.7,..,3.7,..,4.5,..,4.8,..,4.8,..,5.4,..,5.4,..,5.5,..,5.9,..,5.9,..,5.9,..,5.9,..,5.9,..,5.9,..,5.9,..,5.9,..,5.9,..,5.9,..,5.9,..
Belarus,3.3,..,4.3,..,5.1,..,6.1,..,6.5,..,7.1,..,7.2,..,7.9,..,8,..,8,..,8,..,8.1,..,8.1,..,8.1,..,8.1,..,8.1,..,8.5,..,8.5,..,8.7,..,9.2,..,9.6,..,9.7,..,9.7,..,9.7,..,9.7,..,9.7,..
Bermuda,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0
Bonaire,0,0,0,0,13.8,0,18.8,0.2,23,11,23,11,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1,23.7,11.1
