,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Slovak Republic,..,..,..,"49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,030.00","49,035.00","49,040.00","49,037.00","49,036.00","49,036.00","49,036.00","49,030.00","49,030.00","49,030.00"
Slovenia,..,..,"20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,270.00","20,675.00","20,675.00","20,675.00","20,675.00"
Spain,"505,990.00","505,990.00","505,990.00","505,990.00","505,990.00","505,990.00","505,990.00","505,990.00","505,990.00","505,990.00","505,000.00","505,020.00","505,320.00","505,370.00","505,370.00","505,370.00","505,370.00","505,370.00","505,370.00","505,370.00","505,600.00","505,600.00","505,940.00","505,940.00","505,940.00","505,924.00","505,935.00"
Sweden,"450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","450,300.00","447,420.00","447,420.00","447,420.00","447,430.00","447,430.00"
Switzerland,"41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.00","41,290.40","41,290.40"
Turkey,"785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00","785,350.00"
United Kingdom,"243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00","243,610.00"
United States,"9,629,090.00","9,629,090.00","9,629,090.00","9,629,090.00","9,629,090.00","9,629,090.00","9,629,090.00","9,629,090.00","9,629,090.00","9,629,090.00","9,632,030.00","9,632,030.00","9,632,030.00","9,632,030.00","9,632,030.00","9,632,030.00","9,632,030.00","9,632,030.00","9,831,510.00","9,831,510.00","9,831,510.00","9,831,510.00","9,831,510.00","9,831,510.00","9,831,510.00","9,831,510.00","9,831,510.00"
OECD - Total,..,..,"36,127,518.00","36,127,538.00","36,127,548.00","36,127,568.00","36,127,578.00","36,127,578.00","36,127,578.00","36,127,578.00","36,129,529.00","36,129,909.00","36,130,279.00","36,130,649.00","36,130,389.00","36,130,439.00","36,130,769.00","36,130,799.00","36,330,414.00","36,330,627.00","36,330,944.00","36,330,931.00","36,328,376.00","36,569,243.30","36,569,277.70","36,569,351.10","36,570,179.10"
Belgo-Luxembourg Economic Union,"33,120.00","33,120.00","33,120.00","33,120.00","33,120.00","33,120.00","33,120.00","33,120.00","33,120.00","33,120.00",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,"134,540,903.00","134,540,933.00","134,435,804.00","134,435,914.00","134,429,001.00","134,429,031.00","134,429,111.00","134,497,851.00","134,470,591.00","134,470,591.00","134,470,672.00","134,471,062.20","134,471,487.20","134,471,888.70","134,470,032.50","134,471,989.80","134,472,325.00","134,472,366.00","134,671,835.00","134,669,507.50","134,669,733.70","134,669,985.90","134,667,447.90","134,911,982.60","134,910,279.00","134,912,962.50","134,900,790.50"
Argentina,"2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00","2,780,400.00"
Armenia,..,..,"29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00","29,740.00"
Azerbaijan,..,..,"86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00","86,600.00"
Belarus,..,..,"207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00","207,600.00"
Brazil,"8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00","8,515,770.00"
Bulgaria,"110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","110,990.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00","111,000.00"
China (People's Republic of),"9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.20","9,600,000.20","9,599,999.70","9,600,000.50","9,599,999.80","9,600,000.00","9,600,000.00","9,600,000.00","9,600,000.50","9,600,000.70","9,600,000.90","9,600,000.90","9,600,001.30","9,600,006.30","9,600,007.40","9,600,010.40"
Colombia,"1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,750.00","1,141,748.00","1,141,749.00","1,141,749.00","1,141,749.00","1,141,749.00"
Costa Rica,"51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00","51,100.00"
Croatia,..,..,"56,540.00","56,540.00","56,540.00","56,540.00","56,610.00","56,610.00","56,540.00","56,540.00","56,540.00","56,540.00","56,540.00","56,540.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00","56,590.00"
Cyprus,"9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00","9,250.00"
Georgia,..,..,"69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00","69,700.00"
India,"3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,260.00","3,287,259.00","3,287,259.00","3,287,259.00"
Indonesia,"1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,930.00","1,910,931.00","1,913,580.00","1,913,580.00"
Kazakhstan,..,..,"2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00","2,724,902.00"
Kiribati,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810
Malta,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Moldova,..,..,"33,760.00","33,840.00","33,840.00","33,850.00","33,850.00","33,840.00","33,840.00","33,840.00","33,840.00","33,840.00","33,840.00","33,840.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00","33,850.00"
Peru,"1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00","1,285,220.00"
Romania,"238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,390.00","238,400.00","238,400.00","238,400.00","238,400.00"
Russia,..,..,"17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,240.00","17,098,250.00","17,098,250.00","17,098,250.00","17,098,250.00","17,098,250.00","17,098,250.00","17,098,250.00"
Saudi Arabia,"2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00","2,149,690.00"
South Africa,"1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00","1,219,090.00"
Tajikistan,..,..,"142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","142,550.00","141,376.00","141,380.00","141,380.00"
Dataset: Land use,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Total area,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,Square kilometres,,,,,,,,,,,,,,,,,,,,,,,,,,
